u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,access,name,width,junction,tunnel,fid
416007717,416007716,0,35541709,False,,tertiary,,True,32.501,"LINESTRING (-8.6081611 41.1697339, -8.607905 41.1699536)",,,,Largo do Campo Lindo,,,,1530
416007717,4526689694,0,35474001,True,,residential,,False,23.8,"LINESTRING (-8.6081611 41.1697339, -8.6081886 41.1697882, -8.6082258 41.1698156, -8.6082591 41.1698314, -8.6083157 41.1698365, -8.6083686 41.1698173)",,,,Largo do Campo Lindo,,,,1531
416007718,1165604001,0,35541709,False,,tertiary,,False,5.921,"LINESTRING (-8.6082111 41.1696899, -8.6082651 41.1696555)",,,,Largo do Campo Lindo,,,,1532
416007718,416007717,0,35541709,False,,tertiary,,True,6.438,"LINESTRING (-8.6082111 41.1696899, -8.6081611 41.1697339)",,,,Largo do Campo Lindo,,,,1533
416007718,416007719,0,30912880,True,,residential,,False,23.655,"LINESTRING (-8.6082111 41.1696899, -8.6081558 41.1696706, -8.6081049 41.1696706, -8.6080504 41.1696786, -8.6079414 41.1697067)",,,,Rua de Júlio Ramos,,,,1534
416007719,4526688784,0,30912880,True,,residential,,False,100.392,"LINESTRING (-8.6079414 41.1697067, -8.6076544 41.169819, -8.6073943 41.1698457, -8.6067817 41.1698693)",,,,Rua de Júlio Ramos,,,,1535
416007719,416007742,0,"[35474002, 35608866]",True,,living_street,,False,205.12599999999998,"LINESTRING (-8.6079414 41.1697067, -8.6073053 41.1691632, -8.6070838 41.168976, -8.6066858 41.1685617, -8.6070771 41.1683575)",,,,"['Rua Doutor Pedro Dias', 'Travessa do Covelo']",,,,1536
416007724,428670446,0,30912878,True,,residential,,False,80.448,"LINESTRING (-8.6079482 41.1700362, -8.6083954 41.1706766)",,,,Rua de Carlos da Maia,,,,1537
416007724,416007731,0,35474000,True,,residential,,False,37.741,"LINESTRING (-8.6079482 41.1700362, -8.6083251 41.1698499)",,,,Largo do Campo Lindo,,,,1538
416007731,4526689694,0,35474000,True,,residential,,False,5.138,"LINESTRING (-8.6083251 41.1698499, -8.6083686 41.1698173)",,,,Largo do Campo Lindo,,,,1539
416007731,4526689702,0,30912877,True,,residential,,False,171.34900000000002,"LINESTRING (-8.6083251 41.1698499, -8.6084435 41.1698827, -8.6088147 41.16997, -8.608932 41.170018, -8.6090781 41.1700965, -8.6092518 41.1702413, -8.6098057 41.1708314)",,,,Rua de Luz Soriano,,,,1540
416007742,1209790954,0,35474003,True,,living_street,,False,60.659,"LINESTRING (-8.6070771 41.1683575, -8.6065062 41.1680215)",,,,Travessa Faria Guimarães,,,,1541
416011692,2689537165,0,741767470,False,,tertiary,,False,10.646,"LINESTRING (-8.6216055 41.1698496, -8.6215496 41.1699356)",,,,Rua de Monsanto,,,,1542
416011692,10913198202,0,741767470,False,,tertiary,,True,27.999,"LINESTRING (-8.6216055 41.1698496, -8.6216197 41.169816, -8.6217067 41.1696096)",,,,Rua de Monsanto,,,,1543
416011692,10913216605,0,1174464888,True,,living_street,,False,62.745000000000005,"LINESTRING (-8.6216055 41.1698496, -8.6216839 41.1698909, -8.6217894 41.1699434, -8.6218533 41.1699901, -8.6221379 41.1702411)",,,destination,Rua Marques de Abreu,,,,1544
416011733,425727393,0,35474708,False,3,secondary,,False,126.612,"LINESTRING (-8.6231372 41.1702881, -8.6230526 41.1698531, -8.6229181 41.1692398, -8.6229097 41.1692028, -8.6228993 41.1691637)",,,,Rua Acácio Lino,,,,1545
416011733,425725925,0,35474709,True,1,secondary,,False,26.747,"LINESTRING (-8.6231372 41.1702881, -8.6231085 41.1703647, -8.6230904 41.1704198, -8.6230318 41.1705142)",,,,Rua Acácio Lino,,,,1546
417011929,299611381,0,27292961,True,,residential,,False,205.31800000000004,"LINESTRING (-8.5965553 41.1617417, -8.5959133 41.1616819, -8.5958505 41.1616535, -8.5957931 41.1616297, -8.5942508 41.161425, -8.5941506 41.1614164)",,,,Rua de João Ramalho,,,,1547
417011929,299612349,0,27293098,True,,residential,,False,53.821,"LINESTRING (-8.5965553 41.1617417, -8.5965272 41.1617993, -8.5964641 41.1621579, -8.5964588 41.1622187)",,,,Rua de Vasco de Lobeira,,,,1548
417058186,412508453,0,508109549,True,3,secondary,,False,61.194,"LINESTRING (-8.590461 41.1562481, -8.5909627 41.156244, -8.5910186 41.1562435, -8.5911919 41.1562443)",,,,Praça das Flores,,,,1549
417058205,414127321,0,35731561,True,3,secondary,,False,439.474,"LINESTRING (-8.5904553 41.1555498, -8.5899612 41.1555534, -8.5898629 41.1555539, -8.5888747 41.1555457, -8.588216 41.1555448, -8.5880693 41.1555435, -8.5867746 41.1555502, -8.5862861 41.1555506, -8.5856924 41.1555568, -8.5854304 41.1555538, -8.5852078 41.1555733)",,,,Avenida 25 de Abril,,,,1550
417058205,534476364,0,391839899,False,,residential,20,False,135.398,"LINESTRING (-8.5904553 41.1555498, -8.5903815 41.1554697, -8.5893953 41.154631)",,,,Rua de Justino Teixeira,,,,1551
417058205,417058186,0,508109553,True,2,secondary,,False,77.648,"LINESTRING (-8.5904553 41.1555498, -8.5904566 41.1556542, -8.5904603 41.1561441, -8.590461 41.1562481)",,,,Praça das Flores,,,,1552
417058220,412508453,0,1172562978,True,2,tertiary,,False,38.89,"LINESTRING (-8.5910655 41.1565648, -8.5911192 41.156484, -8.591137 41.1563712, -8.5911379 41.1563384, -8.5911395 41.1562761, -8.5911919 41.1562443)",,,,Rua de São Roque da Lameira,,,,1553
417153179,409973397,0,27293235,True,,residential,50,False,44.331,"LINESTRING (-8.5916487 41.1595837, -8.5911631 41.1594247)",,,,Rua do Conde de Burnay,,,,1554
417153179,2678049809,0,35732205,True,,residential,20,False,77.741,"LINESTRING (-8.5916487 41.1595837, -8.591531 41.1588902)",,,,Rua das Antas,3,,,1555
417153187,417153179,0,35732205,True,,residential,20,False,78.801,"LINESTRING (-8.5917886 41.1602845, -8.5916487 41.1595837)",,,,Rua das Antas,3,,,1556
417153187,409972857,0,262150132,True,,residential,,False,81.361,"LINESTRING (-8.5917886 41.1602845, -8.5908796 41.1600256)",,,,Rua de Francisco Carqueja,,,,1557
417153187,299612947,0,262150133,False,,residential,,False,61.398,"LINESTRING (-8.5917886 41.1602845, -8.5918796 41.1608324)",,,,Rua das Antas,,,,1558
417998888,343634640,0,34644746,False,,residential,,False,63.204,"LINESTRING (-8.6034882 41.1693857, -8.6034918 41.1699541)",,,,Rua de Álvaro Castelões,,,,1559
417998888,343634649,0,34644746,False,,residential,,True,89.078,"LINESTRING (-8.6034882 41.1693857, -8.6034897 41.1685846)",,,,Rua de Álvaro Castelões,,,,1560
417998888,417998906,0,35725587,True,,living_street,,False,129.125,"LINESTRING (-8.6034882 41.1693857, -8.603976 41.1689263, -8.6043871 41.1684439)",,,,Travessa Monte de São João,,,,1561
417998906,343634648,0,35725587,True,,living_street,,False,230.71599999999998,"LINESTRING (-8.6043871 41.1684439, -8.6043977 41.1684205, -8.6043991 41.1683972, -8.6043711 41.1682206, -8.6043213 41.1678211, -8.6042863 41.1674511, -8.6042914 41.1673446, -8.6042548 41.1672299, -8.6038234 41.1669823, -8.6035488 41.166705, -8.6034606 41.1666329)",,,,Travessa Monte de São João,,,,1562
418191593,343634640,0,35541722,False,,tertiary,,False,193.61599999999999,"LINESTRING (-8.6057303 41.1696451, -8.6054493 41.1697118, -8.6051518 41.1697988, -8.6045634 41.1699564, -8.6045032 41.1699694, -8.6044429 41.1699745, -8.6034918 41.1699541)",,,,Rua de São Veríssimo,,,,1563
418191593,4526688774,0,35541722,False,,tertiary,,True,46.449,"LINESTRING (-8.6057303 41.1696451, -8.6058344 41.1696447, -8.6059279 41.1696497, -8.6060889 41.1697025, -8.6061807 41.1697416, -8.606241 41.1697764)",,,,Rua de São Veríssimo,,,,1564
418191593,417998906,0,35725581,True,,living_street,,False,193.70899999999997,"LINESTRING (-8.6057303 41.1696451, -8.6057756 41.1695646, -8.605872 41.1693932, -8.6055557 41.1691935, -8.6053751 41.1690651, -8.6050119 41.1688067, -8.6046512 41.1685814, -8.6043871 41.1684439)",,,,Rua Monte de São João,,,,1565
418198684,299611055,0,35770755,False,,tertiary,,True,14.351,"LINESTRING (-8.5974529 41.1653961, -8.5974803 41.1652687)",,,,Avenida dos Combatentes da Grande Guerra,,,,1566
418198684,1165604056,0,547693392,True,,secondary,,False,77.975,"LINESTRING (-8.5974529 41.1653961, -8.5983697 41.1655202)",,,,Avenida dos Combatentes da Grande Guerra,,,,1567
420776943,4523960189,0,1267564167,False,3,secondary,,True,7.956,"LINESTRING (-8.5992274 41.1779635, -8.5992641 41.1778975)",,,,Rua do Doutor Roberto Frias,,,,1568
420777494,411504984,0,35078500,False,2,secondary,,False,38.43,"LINESTRING (-8.6008383 41.1739145, -8.6009155 41.1738773, -8.6009979 41.1738485, -8.6010496 41.1738346, -8.6011677 41.1738077, -8.6012643 41.1737938)",,,,Rua Doutor Manuel Pereira da Silva,,,,1569
420777494,411504977,0,"[1174863220, 35078500]",False,"['2', '3']",secondary,,True,124.48499999999999,"LINESTRING (-8.6008383 41.1739145, -8.6007561 41.1739634, -8.6003397 41.174264, -8.5998871 41.1745908, -8.5997536 41.1746799)",,,,Rua Doutor Manuel Pereira da Silva,,,,1570
420777495,1223751606,0,461925683,True,,residential,,False,42.335,"LINESTRING (-8.5994616 41.1716092, -8.5996775 41.1719535)",,,,Rua do Vez,,,,1571
420777495,1223751681,0,"[461925684, 106334862]",False,,living_street,,False,91.446,"LINESTRING (-8.5994616 41.1716092, -8.6000389 41.171532, -8.6000147 41.1719126)",,,,"['Rua do Ave', 'Rua do Baça']",,,,1572
422547977,429380558,0,1019725094,False,2,secondary,,False,26.415999999999997,"LINESTRING (-8.6438713 41.1703707, -8.6438404 41.1703019, -8.643821 41.170226, -8.6438124 41.1701386)",,,,Rua de Manuel Pinto de Azevedo,,,,1573
422547991,2215508909,0,126031424,True,1,tertiary,40,False,81.00899999999999,"LINESTRING (-8.6421381 41.1707813, -8.642104 41.1708339, -8.6420846 41.1709021, -8.6420979 41.1710186, -8.6421265 41.1711167, -8.6421384 41.1711791, -8.6421518 41.1713848, -8.6421935 41.1714943)",,,,Rua Engenheiro Ferreira Dias,,,,1574
422547991,3108425106,0,1019725092,True,2,secondary,,False,12.957,"LINESTRING (-8.6421381 41.1707813, -8.6421784 41.1707858, -8.6422229 41.1707805, -8.6422504 41.1707676, -8.642275 41.1707472)",,,,Rua Engenheiro Ferreira Dias,,roundabout,,1575
423185164,1788785599,0,463280224,True,3,secondary,,False,91.25299999999999,"LINESTRING (-8.5990569 41.1491025, -8.5989309 41.1490113, -8.5988614 41.1489305, -8.5988187 41.1488643, -8.5986042 41.1484505, -8.5985652 41.1483815)",,,,Campo 24 de Agosto,,,,1576
423185164,4751729050,0,1017121217,True,1,primary,,False,27.540999999999997,"LINESTRING (-8.5990569 41.1491025, -8.5990292 41.1490937, -8.5990015 41.1490894, -8.5989557 41.1490894, -8.5988995 41.1490977, -8.5988716 41.1491036, -8.5988417 41.1491148, -8.5988134 41.149126, -8.5987871 41.1491405, -8.598755 41.1491592)",,,,Campo 24 de Agosto,,,,1577
424016753,1548084858,0,36355828,False,2,tertiary,,False,50.933,"LINESTRING (-8.5816764 41.1657348, -8.5813017 41.1658829, -8.5811336 41.1659415)",,,,Rua do Giestal,,,,1578
424016753,1548084517,0,836094045,True,1,tertiary,,False,29.369,"LINESTRING (-8.5816764 41.1657348, -8.5818513 41.1656831, -8.5820104 41.1656566)",,,,Rua do Giestal,,,,1579
424016817,3570149234,0,36357160,False,,tertiary,,True,119.04,"LINESTRING (-8.5790341 41.1711627, -8.5789619 41.1710301, -8.5788715 41.1709465, -8.5784428 41.1708193, -8.5783734 41.1707557, -8.5783668 41.17068, -8.5785726 41.1704064)",,,,Rua Amorim de Carvalho,,,,1580
424016817,343634587,0,38080447,False,,residential,,True,192.51799999999997,"LINESTRING (-8.5790341 41.1711627, -8.5790805 41.1711407, -8.5791092 41.1711108, -8.5791489 41.171023, -8.5791716 41.1709913, -8.5793372 41.1708976, -8.5797505 41.1706175, -8.5798582 41.1705475, -8.5799576 41.1705164, -8.5800536 41.170502, -8.5801477 41.170495, -8.5802377 41.1704969, -8.5806791 41.1705917, -8.5808117 41.1705942, -8.5809478 41.170578)",,,,Rua de Santo António de Contumil,,,,1581
424016817,1838453683,0,452139650,False,,tertiary,,False,371.67,"LINESTRING (-8.5790341 41.1711627, -8.5790677 41.1713594, -8.5790457 41.1714458, -8.5790289 41.171512, -8.5789471 41.1716631, -8.5787514 41.1719644, -8.5785442 41.1721931, -8.5783427 41.1723652, -8.577335 41.1731887, -8.5771738 41.1733199, -8.5769117 41.1735333, -8.5765553 41.1738234)",,,,Rua Doutor Corino de Andrade,,,,1582
424016854,4452315806,0,161124241,False,,residential,,True,50.25,"LINESTRING (-8.5760095 41.174448, -8.5754384 41.1743086)",,,,Rua da Nau Vitória,,,,1583
424016854,299586502,0,27290327,False,,residential,,False,412.782,"LINESTRING (-8.5760095 41.174448, -8.5761497 41.1744779, -8.5764569 41.174522, -8.5776894 41.1745632, -8.5779608 41.1745614, -8.5782319 41.1745634, -8.5804243 41.1743538, -8.5808319 41.1742922, -8.5809019 41.1742816)",,,,Rua da Nau Vitória,,,,1584
424016854,789704963,0,452139650,False,,tertiary,,False,361.2950000000001,"LINESTRING (-8.5760095 41.174448, -8.5759813 41.1745544, -8.5758489 41.1751357, -8.5758249 41.1752409, -8.5757216 41.1756412, -8.5756686 41.1758337, -8.5756165 41.1760254, -8.5754136 41.1765611, -8.5752008 41.1769898, -8.5749331 41.1774386, -8.5748499 41.177561)",,,,Rua Doutor Corino de Andrade,,,,1585
424016854,1838453683,0,452139650,False,,tertiary,,True,83.788,"LINESTRING (-8.5760095 41.174448, -8.5761829 41.1741716, -8.5763749 41.1739703, -8.5765024 41.1738665, -8.5765553 41.1738234)",,,,Rua Doutor Corino de Andrade,,,,1586
424029086,411014903,0,36357161,False,,residential,,True,64.771,"LINESTRING (-8.5817286 41.1648012, -8.5817923 41.1651946, -8.5818374 41.1652826, -8.5819235 41.1653477)",,,,Rua do Giestal,,,,1587
424548279,343634458,0,118148375,True,,residential,,False,114.0,"LINESTRING (-8.5822508 41.1675194, -8.5824282 41.167072, -8.5824292 41.1670277, -8.5823423 41.1668571, -8.5821792 41.1665494)",,,,Rua de Contumil,,,,1588
424548338,424548279,0,36406764,True,,residential,,False,202.19800000000004,"LINESTRING (-8.5841683 41.1677204, -8.5833693 41.167854, -8.5833084 41.1678952, -8.5831171 41.1679109, -8.5828727 41.1678196, -8.5827263 41.1678006, -8.5823602 41.1677791, -8.5822613 41.1678045, -8.5822353 41.167791, -8.5822223 41.167763, -8.5822199 41.167735, -8.5823018 41.1675754, -8.5822896 41.1675441, -8.5822508 41.1675194)",,,,Rua das Cavadas,,,,1589
424548338,1842003107,0,"[118148371, 36406765]",False,,residential,,False,238.42,"LINESTRING (-8.5841683 41.1677204, -8.5847278 41.1675666, -8.5852932 41.167424, -8.5865319 41.1670927, -8.5868314 41.1672167)",,,,Rua das Cavadas,,,,1590
424548338,1334167596,0,36406769,False,,residential,,True,92.78399999999999,"LINESTRING (-8.5841683 41.1677204, -8.5836417 41.1683446, -8.5835532 41.1684123)",,,,Rua de Joaquim Vitorino Ribeiro,,,,1591
425725650,343646689,0,34771961,True,,residential,,False,165.695,"LINESTRING (-8.6101283 41.1703101, -8.608551 41.1694097)",,,,Rua de Costa e Almeida,,,,1592
425725650,6034367201,0,36561813,False,2,residential,,False,104.019,"LINESTRING (-8.6101283 41.1703101, -8.610171 41.1702688, -8.6103902 41.1700775, -8.6107555 41.1697587, -8.6108782 41.1696554, -8.6109396 41.1696016)",,,,Rua Professor Joaquim Bastos,,,,1593
425725651,343646649,0,212708374,True,3,secondary,,False,116.76100000000001,"LINESTRING (-8.6062487 41.164361, -8.6062598 41.1644659, -8.6063496 41.165314, -8.6063584 41.1654078)",,,,Rua de Faria Guimarães,,,,1594
425725652,1216466457,0,448867798,False,2,secondary,,True,16.762,"LINESTRING (-8.6123058 41.1683638, -8.612373 41.1685058)",,,,Rua do Vale Formoso,,,,1595
425725652,474797429,0,448867798,False,2,secondary,,False,106.74000000000001,"LINESTRING (-8.6123058 41.1683638, -8.6122372 41.1681969, -8.6119236 41.167448)",,,,Rua do Vale Formoso,,,,1596
425725652,8091601034,0,868082261,False,,residential,,True,61.198,"LINESTRING (-8.6123058 41.1683638, -8.6122513 41.1684607, -8.6118589 41.1687937)",,,,Rua Professor Joaquim Bastos,,,,1597
425725925,411029260,0,1120859255,True,3,secondary,,False,49.367000000000004,"LINESTRING (-8.6230318 41.1705142, -8.6229575 41.1705626, -8.6229071 41.1706261, -8.6228856 41.1706983, -8.6228953 41.170772, -8.6229351 41.1708396, -8.6230011 41.1708945)",,,,Rotunda Orlando Ribeiro,,roundabout,,1598
425727393,416011733,0,35474708,False,3,secondary,,True,126.612,"LINESTRING (-8.6228993 41.1691637, -8.6229097 41.1692028, -8.6229181 41.1692398, -8.6230526 41.1698531, -8.6231372 41.1702881)",,,,Rua Acácio Lino,,,,1599
425727393,4888395227,0,228569587,False,3,secondary,,False,76.611,"LINESTRING (-8.6228993 41.1691637, -8.6221252 41.1693719, -8.6220386 41.1693979)",,,,Rua Sousa Pinto,,,,1600
425727393,343646762,0,"[1174461333, 30912902]",False,3,secondary,,True,71.901,"LINESTRING (-8.6228993 41.1691637, -8.623239 41.1690701, -8.6237042 41.1689379)",,,,Rua Sousa Pinto,,,,1601
425743085,1202110494,0,13714843,False,,secondary,,False,190.78199999999998,"LINESTRING (-8.6261528 41.1716148, -8.6260328 41.1710435, -8.6258995 41.1704093, -8.6257936 41.1699205)",,,,Rua do Monte dos Burgos,,,,1602
425743085,126604783,0,13714843,False,,secondary,,True,189.12400000000002,"LINESTRING (-8.6261528 41.1716148, -8.6261706 41.1716979, -8.6263458 41.1725002, -8.6264194 41.172719, -8.6265382 41.1729673, -8.6267046 41.1732552)",,,,Rua do Monte dos Burgos,,,,1603
425743085,343646764,0,30912906,False,,residential,,True,156.495,"LINESTRING (-8.6261528 41.1716148, -8.6260714 41.1716242, -8.6257053 41.171652, -8.6242945 41.1717693)",,,,Rua Martins Sarmento,,,,1604
427067703,335560376,0,255778743,False,,residential,,False,94.03099999999999,"LINESTRING (-8.627145 41.1481224, -8.6271004 41.1485679, -8.6270824 41.148593, -8.6270385 41.1486153, -8.6267838 41.1487396, -8.626736 41.148763, -8.6267087 41.1488183)",,,,Rua de Entre Quintas,,,,1605
427067714,285945659,0,304688472,False,3,secondary,,False,17.334,"LINESTRING (-8.6290837 41.1513364, -8.629007 41.1514812)",,,,Rua Dom Pedro V,,,,1606
427067714,297880608,0,1167602891,False,3,secondary,,True,37.734,"LINESTRING (-8.6290837 41.1513364, -8.6291484 41.1512521, -8.6293113 41.1510435)",,,,Rua Dom Pedro V,,,,1607
427067727,1223806715,0,36740122,True,,residential,,False,33.012,"LINESTRING (-8.6254981 41.1488361, -8.6255459 41.1487687, -8.6255863 41.1487281, -8.6256401 41.1486959, -8.625703 41.1486798, -8.6257924 41.1486704)",,,,Rua de Dom Manuel II,,,,1608
427067727,128677724,0,36748084,False,4,secondary,,False,227.68399999999997,"LINESTRING (-8.6254981 41.1488361, -8.6255023 41.1488634, -8.6255983 41.149277, -8.6256472 41.1494926, -8.6257871 41.1501093, -8.6257937 41.1501385, -8.6259137 41.1506581, -8.6259458 41.1507759, -8.6259494 41.1507966, -8.6259526 41.150815, -8.6259533 41.1508542)",,,,Rua de Júlio Dinis,,,,1609
427067727,3391598673,0,167487364,True,,secondary,,False,26.802,"LINESTRING (-8.6254981 41.1488361, -8.6255047 41.1487495, -8.6254837 41.1486748, -8.6254153 41.1486163)",,,,Rua de Dom Manuel II,,,,1610
427277889,128655671,0,27293276,False,1,residential,,False,58.71,"LINESTRING (-8.594235 41.1556393, -8.594186 41.1556642, -8.5941604 41.1556847, -8.5941018 41.1557674, -8.5938657 41.1560823)",,,,Rua Câmara Pestana,,,,1611
427277908,2053584362,0,194849406,False,,residential,,True,74.12,"LINESTRING (-8.5947889 41.1551624, -8.5940748 41.1547684)",,,,Rua das Goelas de Pau,,,,1612
427277908,10916547342,0,36747397,False,,residential,,False,70.74399999999999,"LINESTRING (-8.5947889 41.1551624, -8.59522 41.1548464, -8.5953455 41.1547957, -8.595407 41.1547865, -8.5954452 41.1547867)",,,,Rua Câmara Pestana,,,,1613
427277908,4751434514,0,482299112,False,,living_street,,True,42.010000000000005,"LINESTRING (-8.5947889 41.1551624, -8.5947182 41.1552268, -8.5944673 41.1554524)",,,,Rua Câmara Pestana,,,,1614
427277909,10916547342,0,1017143692,True,,primary,,False,7.216,"LINESTRING (-8.5954715 41.1547249, -8.5954452 41.1547867)",,,,Avenida de Fernão de Magalhães,,,,1615
428050267,435469009,0,35112010,True,1,residential,,False,95.005,"LINESTRING (-8.6077198 41.1665447, -8.6081864 41.1665749, -8.6088501 41.166622)",,,,Rua do Covelo,,,,1616
428050267,428050290,0,36824721,False,,residential,,False,65.207,"LINESTRING (-8.6077198 41.1665447, -8.607714 41.1666502, -8.6077312 41.1666772, -8.6077621 41.166707, -8.6081654 41.1669871)",,,,Travessa Nova do Covelo,,,,1617
428050285,1165604036,0,36824718,False,,living_street,,True,51.417,"LINESTRING (-8.6075552 41.1679799, -8.6076708 41.1680167, -8.607728 41.1680495, -8.6078262 41.1681385, -8.6078721 41.1681841, -8.6079109 41.1682283, -8.6079303 41.1682641, -8.6079443 41.1683122)",,,,Rua do Encontro,,,,1618
428050285,416007742,0,37346130,True,,living_street,,False,58.394000000000005,"LINESTRING (-8.6075552 41.1679799, -8.60736 41.1681779, -8.6070771 41.1683575)",,,,Travessa do Covelo,,,,1619
428050290,428050267,0,36824721,False,,residential,,True,65.207,"LINESTRING (-8.6081654 41.1669871, -8.6077621 41.166707, -8.6077312 41.1666772, -8.607714 41.1666502, -8.6077198 41.1665447)",,,,Travessa Nova do Covelo,,,,1620
428050290,428050285,0,37346130,True,,living_street,,False,122.338,"LINESTRING (-8.6081654 41.1669871, -8.6080164 41.1671553, -8.6079342 41.1672873, -8.6078662 41.1674326, -8.6077593 41.1676956, -8.6075552 41.1679799)",,,,Travessa do Covelo,,,,1621
428050294,428050290,0,"[449447641, 914265950]",True,,residential,,False,61.345,"LINESTRING (-8.6086843 41.1673724, -8.6086664 41.1673396, -8.6085621 41.1672662, -8.6081654 41.1669871)",,,,Travessa Nova do Covelo,,,,1622
428050294,9119066035,0,986534476,False,,residential,,False,89.682,"LINESTRING (-8.6086843 41.1673724, -8.609046 41.1674649, -8.6090675 41.1674851, -8.6090675 41.1675194, -8.6087832 41.1679252)",,,,,,,,1623
428214900,311889356,0,1016617006,True,2,tertiary,,False,85.119,"LINESTRING (-8.6409629 41.1586844, -8.6411909 41.1579384)",,,,Rua de António Cardoso,,,,1624
428214900,428214949,0,36835967,False,,residential,,False,311.63599999999997,"LINESTRING (-8.6409629 41.1586844, -8.6408508 41.158663, -8.6403831 41.1585863, -8.6396588 41.1584687, -8.639436 41.1584325, -8.6373253 41.1580897)",,,,Rua de António Patrício,,,,1625
428214901,428216538,0,36836152,True,,residential,,False,42.319,"LINESTRING (-8.639464 41.1576583, -8.6399596 41.1577332)",,,,Rua de Feliciano de Castilho,,,,1626
428214902,428214944,0,36835965,True,,residential,,False,70.397,"LINESTRING (-8.637989 41.1571299, -8.6385615 41.1566662)",,,,Rua de Felicidade Brown,,,,1627
428214902,428214901,0,36836152,True,,residential,,False,138.09,"LINESTRING (-8.637989 41.1571299, -8.6382378 41.1572534, -8.6385879 41.1574248, -8.6387473 41.1574933, -8.6389942 41.1575634, -8.6393676 41.1576392, -8.639464 41.1576583)",,,,Rua de Feliciano de Castilho,,,,1628
428214905,428214906,0,28996911,True,2,tertiary,,False,78.69600000000001,"LINESTRING (-8.638156 41.1543751, -8.6380786 41.1545338, -8.6378746 41.1549518, -8.6378318 41.1550394)",,,,Rua Guerra Junqueiro,,,,1629
428214906,311889445,0,28996911,True,2,tertiary,,False,83.697,"LINESTRING (-8.6378318 41.1550394, -8.6375106 41.1556584, -8.6374937 41.1556909, -8.637468 41.1557405)",,,,Rua Guerra Junqueiro,,,,1630
428214906,2106234991,0,36835969,True,,residential,,False,75.277,"LINESTRING (-8.6378318 41.1550394, -8.6379198 41.1550579, -8.6386979 41.1552212)",,,,Rua do Doutor José de Figueiredo,,,,1631
428214907,428214949,0,36835967,False,,residential,,True,80.898,"LINESTRING (-8.6363835 41.1579269, -8.6364865 41.1579442, -8.6373253 41.1580897)",,,,Rua de António Patrício,,,,1632
428214907,1207560213,0,"[104688711, 1000487656, 1000486665, 1000487472, 1000487924, 1000486584, 1000486585]",False,2,residential,,True,331.22,"LINESTRING (-8.6363835 41.1579269, -8.6362825 41.1578992, -8.6357839 41.1578199, -8.6356005 41.1577881, -8.6354676 41.1577611, -8.635403 41.15774, -8.6353684 41.1577332, -8.6347884 41.1576385, -8.6347335 41.1576284, -8.6341888 41.1575286, -8.6339669 41.157491, -8.6338587 41.1574776, -8.633738 41.1574738, -8.6336401 41.1574872, -8.6327592 41.157923, -8.6326882 41.1579584)",,,,Rua de Monsenhor Fonseca Soares,,,,1633
428214907,111415446,0,1016617005,True,2,tertiary,,False,127.04600000000002,"LINESTRING (-8.6363835 41.1579269, -8.6363563 41.1579796, -8.635862 41.1589379, -8.6358336 41.1589918)",,,,Rua Guerra Junqueiro,,,,1634
428214944,428214946,0,36835965,True,,residential,,False,87.371,"LINESTRING (-8.6385615 41.1566662, -8.638976 41.1563695, -8.6390939 41.1562813, -8.6393106 41.1561192)",,,,Rua de Felicidade Brown,,,,1635
428214944,1105955007,0,36836149,True,,residential,,False,81.316,"LINESTRING (-8.6385615 41.1566662, -8.6386964 41.1567412, -8.6388692 41.1568298, -8.6390511 41.1568885, -8.6392186 41.1569165, -8.6393555 41.156918, -8.6394436 41.1569164)",,,,Rua do Professor Câmara Sinval,,,,1636
428214946,2106234992,0,39846855,False,,residential,,False,77.338,"LINESTRING (-8.6393106 41.1561192, -8.6390104 41.1560605, -8.6384165 41.1559444)",,,,Rua de Soares de Passos,,,,1637
428214946,1108285814,0,39846855,False,,residential,,True,82.362,"LINESTRING (-8.6393106 41.1561192, -8.6395425 41.1561702, -8.6402549 41.1563269)",,,,Rua de Soares de Passos,,,,1638
428214946,1108285760,0,95582019,True,,residential,,False,82.349,"LINESTRING (-8.6393106 41.1561192, -8.6393816 41.155924, -8.6395703 41.1554049)",,,,Rua de Guilherme Braga,,,,1639
428214949,428214907,0,36835967,False,,residential,,False,80.898,"LINESTRING (-8.6373253 41.1580897, -8.6364865 41.1579442, -8.6363835 41.1579269)",,,,Rua de António Patrício,,,,1640
428214949,428214900,0,36835967,False,,residential,,True,311.63599999999997,"LINESTRING (-8.6373253 41.1580897, -8.639436 41.1584325, -8.6396588 41.1584687, -8.6403831 41.1585863, -8.6408508 41.158663, -8.6409629 41.1586844)",,,,Rua de António Patrício,,,,1641
428214952,1108285691,0,"[36835968, 36835970]",True,,residential,,False,149.8,"LINESTRING (-8.6404296 41.1555883, -8.6404961 41.1552203, -8.6405774 41.1549489, -8.6406054 41.1548553, -8.6404663 41.1548279, -8.6398367 41.1546912)",,,,"['Rua de António Nobre', 'Rua de Alberto Oliveira']",,,,1642
428214955,473849956,0,453493822,False,2,tertiary,,True,78.622,"LINESTRING (-8.6247533 41.1618635, -8.6247836 41.1625702)",,,,Rua de Oliveira Monteiro,,,,1643
428214955,6680293199,0,36835972,False,,residential,,False,39.041000000000004,"LINESTRING (-8.6247533 41.1618635, -8.6251376 41.1619243, -8.6252097 41.1619357)",,,,Rua da Graciosa,,,,1644
